tambon_code,dist_city_km,nearest_city,nearest_city_prov
341902,43.098,วารินชำราบ,อุบลราชธานี
341904,46.968,วารินชำราบ,อุบลราชธานี
341905,50.633,อุบลราชธานี,อุบลราชธานี
341906,32.621,วารินชำราบ,อุบลราชธานี
341907,55.718,วารินชำราบ,อุบลราชธานี
341909,36.3,อุบลราชธานี,อุบลราชธานี
341910,42.681,อุบลราชธานี,อุบลราชธานี
341911,49.431,อุบลราชธานี,อุบลราชธานี
341912,30.093,วารินชำราบ,อุบลราชธานี
341913,41.52,วารินชำราบ,อุบลราชธานี
341914,51.021,วารินชำราบ,อุบลราชธานี
341918,57.269,วารินชำราบ,อุบลราชธานี
341919,47.67,วารินชำราบ,อุบลราชธานี
342001,34.762,อุบลราชธานี,อุบลราชธานี
342002,43.075,อุบลราชธานี,อุบลราชธานี
342003,31.04,อุบลราชธานี,อุบลราชธานี
342004,43.467,อุบลราชธานี,อุบลราชธานี
342005,34.669,อุบลราชธานี,อุบลราชธานี
342006,38.29,อุบลราชธานี,อุบลราชธานี
342101,78.284,แจระแม,อุบลราชธานี
342102,83.503,แจระแม,อุบลราชธานี
342103,83.905,อุบลราชธานี,อุบลราชธานี
342104,85.948,อุบลราชธานี,อุบลราชธานี
342105,73.198,อุบลราชธานี,อุบลราชธานี
342106,81.628,อุบลราชธานี,อุบลราชธานี
342201,22.468,วารินชำราบ,อุบลราชธานี
342202,18.735,วารินชำราบ,อุบลราชธานี
342203,29.689,วารินชำราบ,อุบลราชธานี
342204,31.399,วารินชำราบ,อุบลราชธานี
342205,25.636,วารินชำราบ,อุบลราชธานี
342206,30.708,วารินชำราบ,อุบลราชธานี
342207,28.831,วารินชำราบ,อุบลราชธานี
342208,19.279,วารินชำราบ,อุบลราชธานี
342209,24.762,วารินชำราบ,อุบลราชธานี
342401,23.919,อุบลราชธานี,อุบลราชธานี
342402,24.78,อุบลราชธานี,อุบลราชธานี
342403,29.779,อุบลราชธานี,อุบลราชธานี
342501,52.536,วารินชำราบ,อุบลราชธานี
342502,64.648,วารินชำราบ,อุบลราชธานี
342503,71.601,วารินชำราบ,อุบลราชธานี
342504,61.295,วารินชำราบ,อุบลราชธานี
342505,56.647,วารินชำราบ,อุบลราชธานี
342506,66.574,อุบลราชธานี,อุบลราชธานี
342602,44.579,วารินชำราบ,อุบลราชธานี
342603,52.405,วารินชำราบ,อุบลราชธานี
342604,58.094,วารินชำราบ,อุบลราชธานี
342605,50.096,วารินชำราบ,อุบลราชธานี
342606,48.699,วารินชำราบ,อุบลราชธานี
342901,30.982,วารินชำราบ,อุบลราชธานี
342902,19.83,วารินชำราบ,อุบลราชธานี
342903,33.055,วารินชำราบ,อุบลราชธานี
343001,89.448,แจระแม,อุบลราชธานี
343002,96.282,แจระแม,อุบลราชธานี
343003,92.528,แจระแม,อุบลราชธานี
343004,85.053,แจระแม,อุบลราชธานี
343101,21.65,แจระแม,อุบลราชธานี
343102,25.199,แจระแม,อุบลราชธานี
343103,18.431,แจระแม,อุบลราชธานี
343104,22.56,อุบลราชธานี,อุบลราชธานี
343201,27.864,วารินชำราบ,อุบลราชธานี
343202,14.968,อุบลราชธานี,อุบลราชธานี
343203,20.634,อุบลราชธานี,อุบลราชธานี
343204,29.148,อุบลราชธานี,อุบลราชธานี
343301,71.015,วารินชำราบ,อุบลราชธานี
343302,67.548,วารินชำราบ,อุบลราชธานี
343303,64.234,วารินชำราบ,อุบลราชธานี
343304,79.589,วารินชำราบ,อุบลราชธานี
350101,61.902,ร้อยเอ็ด,ร้อยเอ็ด
