PROV_CODE,PROV_NAM_T,AMP_CODE,AMPHOE_T,TAM_CODE,TAM_NAM_T,tambon_area_rai,share_agriculture,share_forest,share_urban,share_water,share_misc,dominant_landuse,dominant_subtype,dominant_subtype_code,landuse_hhi,landuse_diversity,dominant_landuse_map
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,14,ต.บางเจ้าฉ่า,8179.368368084184,0.7719610301036085,0.0,0.1225244236307407,0.10080622705104743,0.0047083192146034365,agriculture,,,0.6211201300667635,0.3788798699332365,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,04,ต.หนองแม่ไก่,12248.461145567424,0.7841741245499053,0.0,0.1548000505566441,0.031286302260164635,0.029739522633285973,agriculture,,,0.6407553851815201,0.3592446148184799,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,05,ต.รำมะสัก,23329.570296645834,0.8276671364096102,0.0,0.12841498120066708,0.04316577675396513,0.0007521056357575923,agriculture,,,0.7033871460349125,0.2966128539650875,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,09,ต.โคกพุทรา,7271.206413297154,0.697664817049201,0.0,0.09725216736028051,0.07811382159283667,0.1269691939976818,agriculture,,,0.5184171263528257,0.48158287364717434,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,07,ต.หลักฟ้า,4975.095418468596,0.5416464882349759,0.0,0.20490830359103987,0.07321180320418544,0.1802334049697989,agriculture,,,0.3732123794932555,0.6267876205067445,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,08,ต.ชะไว,2109.8976487566692,0.7325061207066067,0.0,0.17924113654873972,0.05739335166276549,0.030859391081888014,agriculture,,,0.5729389007369567,0.42706109926304325,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,12,ต.ทางพระ,5598.604412050618,0.7748914630336196,0.0,0.17327990911921684,0.028519190025775774,0.023309437821387818,agriculture,,,0.6318393804780229,0.3681606195219771,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,05,ต.ราชสถิตย์,5820.59563159343,0.7510204961271243,0.0,0.11684781276174395,0.10674830165416703,0.025383389456964653,agriculture,,,0.5897247133166085,0.4102752866833915,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,15,ต.คำหยาด,10774.039529599535,0.8169441467182322,0.0,0.11199645871028545,0.02754092128125717,0.04351847329022517,agriculture,,,0.6825933054833576,0.3174066945166424,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,10,ต.ยางซ้าย,14280.733317346703,0.858119714081843,0.0,0.10816517142677844,0.032957590236848626,0.0007575242545299266,agriculture,,,0.7491559246029045,0.2508440753970955,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,01,ต.อ่างแก้ว,6302.440462570878,0.6773402721911866,0.0,0.20238213924340778,0.08082396030662473,0.0394536282587808,agriculture,,,0.5078374759591978,0.4921625240408022,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,09,ต.ตรีณรงค์,2422.858692827612,0.816584453591917,0.0,0.10423912431093153,0.04851871730589754,0.030657704791253907,agriculture,,,0.6809699256771967,0.3190300743228033,agriculture
